Simple	Choices S	Complex	Choices C
6-Sep	a. 3   b. 9   c. 6	2 + 2 + 2	a. 4   b. 5   c. 6
9-Dec	a. 3   b. 8   c. 1	2 + 2 + 2	a. 4   b. 5   c. 6
3-Jul	a. 7   b. 4   c. 6	3 + 1 - 2	a. 2   b. 6   c. 4
14 - 10	a. 2   b. 4   c. 3	3 + 1 - 2	a. 2   b. 6   c. 4
3-Aug	a. 7   b. 5   c. 4	3 + 1 + 1	a. 6   b. 5   c. 7
6-Nov	a. 6   b. 9   c. 5	3 + 2 + 1	a. 8   b. 9   c. 6
3-Sep	a. 1   b. 4   c. 6	3 + 2 + 2	a. 7   b. 8   c. 10
6-Dec	a. 6   b. 5   c. 4	3 + 3 - 1	a. 3   b. 2   c. 5
1-Aug	a. 6   b. 7   c. 9	3 + 3 - 3	a. 1   b. 0   c. 3
4-Nov	a. 4   b. 7   c. 5	3 + 3 + 1	a. 5   b. 6   c. 7
1-Sep	a. 9   b. 10   c. 8	3 + 3 + 2	a. 10   b. 11   c. 8
2-Nov	a. 11   b. 8   c. 9	3 + 3 + 3	a. 5   b. 9   c. 14
19 - 10	a. 9   b. 8   c. 7	4 + 1 - 1	a. 4   b. 6   c. 5
13 - 3	a. 10   b. 13   c. 11	4 + 1 + 1	a. 6   b. 5   c. 4
19 - 9	a. 6   b. 10   c. 19	4 + 2 - 2	a. 3   b. 2   c. 4
14 - 3	a. 11   b. 15   c. 13	4 + 2 - 6	a. 12   b. 0   c. -2
17 - 6	a. 11   b. 9   c. 10	4 + 2 + 1	a. 10   b. 5   c. 7
13 - 1	a. 14   b. 13   c. 12	4 + 2 + 2	a. 10   b. 9   c. 8
17 - 5	a. 12   b. 14   c. 13	4 + 3 - 4	a. 11   b. 3   c. 0
18 - 5	a. 16   b. 12   c. 13	4 + 3 - 5	a. 1   b. -1   c. 2
16 - 2	a. 16   b. 14   c. 13	4 + 3 + 2	a. 12   b. 9   c. 11
19 - 5	a. 15   b. 14   c. 19	4 + 3 + 3	a. 12   b. 13   c. 10
18 - 2	a. 6   b. 16   c. -1	4 + 4 - 1	a. 9   b. 7   c. 3
19 - 2	a. 13   b. 14   c. 17	4 + 4 - 2	a. 10   b. 6   c. 2
1 + 3	a. 3   b. 6   c. 4	5 + 1 - 1	a. 4   b. 3   c. 5
3 + 2	a. 5   b. 2   c. 0	5 + 1 - 5	a. 11   b. 1   c. 0
4 + 2	a. 1   b. 4   c. 6	5 + 2 - 4	a. 3   b. 11   c. 6
4 + 3	a. 10   b. 9   c. 7	5 + 2 + 1	a. 10   b. 9   c. 8
3 + 5	a. 8   b. 6   c. 12	5 + 2 + 2	a. 9   b. 6   c. 7
1 + 8	a. 8   b. 16   c. 9	5 + 3 - 1	a. 4   b. 7   c. 9
5 + 4	a. 13   b. 9   c. 8	5 + 3 - 4	a. 4   b. 12   c. 7
2 + 8	a. 17   b. 10   c. 14	5 + 3 - 5	a. 1   b. 0   c. 3
6 + 4	a. 15   b. 10   c. 7	5 + 3 - 7	a. 0   b. -2   c. 1
2 + 9	a. 5   b. 4   c. 11	5 + 3 + 2	a. 8   b. 7   c. 10
2 + 11	a. 5   b. 11   c. 13	5 + 4 - 5	a. 4   b. 14   c. 12
11 + 2	a. 12   b. 16   c. 13	5 + 4 - 7	a. 2   b. 16   c. 13
5 + 9	a. 14   b. 22   c. 13	5 + 5 - 1	a. 9   b. 11   c. 10
2 + 13	a. 27   b. 13   c. 15	5 + 5 - 2	a. 5   b. 3   c. 8
6 + 9	a. 15   b. 2   c. 5	5 + 5 - 3	a. 3   b. 2   c. 7
13 + 2	a. 15   b. 16   c. 18	5 + 5 - 4	a. 6   b. 14   c. 7
5 + 11	a. 26   b. 16   c. 11	5 + 5 - 7	a. -2   b. 3   c. 17
11 + 5	a. 18   b. 17   c. 16	5 + 5 - 9	a. -4   b. 1   c. 19
2 + 15	a. 17   b. 3   c. 9	5 + 5 + 1	a. 10   b. 11   c. 6
6 + 11	a. 24   b. 17   c. 20	5 + 5 + 2	a. 11   b. 10   c. 12
11 + 6	a. 12   b. 17   c. 2	5 + 5 + 3	a. 13   b. 11   c. 18
15 + 2	a. 17   b. 20   c. 18	5 + 5 + 4	a. 14   b. 23   c. 21
5 + 13	a. 1   b. 18   c. 3	5 + 5 + 5	a. 19   b. 15   c. 13
10 + 8	a. 18   b. 20   c. 21	6 + 1 - 7	a. -1   b. -2   c. 0
14 + 4	a. 2   b. 18   c. 17	6 + 2 - 1	a. 7   b. 9   c. 8
3 + 16	a. 19   b. 23   c. 26	6 + 2 - 2	a. 10   b. 6   c. 4
7 + 12	a. 24   b. 23   c. 19	6 + 2 + 1	a. 11   b. 9   c. 10
11 + 8	a. 15   b. 19   c. 26	6 + 3 - 2	a. 5   b. 4   c. 7
15 + 4	a. 21   b. 19   c. 24	6 + 3 - 3	a. 5   b. 3   c. 6
12 + 8	a. 20   b. 18   c. 13	6 + 3 - 7	a. -1   b. 2   c. 16
2-Mar	a. -1   b. 0   c. 1	6 + 3 + 1	a. 8   b. 10   c. 9
5-Jun	a. 1   b. -1   c. 6	6 + 4 - 1	a. 8   b. 5   c. 9
2-Apr	a. 4   b. 1   c. 2	6 + 4 - 2	a. 8   b. 12   c. 10
5-Jul	a. 5   b. 2   c. 6	6 + 4 - 6	a. 1   b. 0   c. 4
9-Nov	a. 1   b. 4   c. 2	6 + 4 + 1	a. 13   b. 10   c. 11
2-May	a. 3   b. 1   c. 6	6 + 4 + 2	a. 12   b. 10   c. 18
5-Aug	a. 3   b. 1   c. 2	6 + 4 + 3	a. 10   b. 13   c. 17
2-Jun	a. 4   b. 7   c. 6	7 + 1 - 2	a. 10   b. 6   c. 5
4-Aug	a. 7   b. 4   c. 6	7 + 1 - 3	a. 4   b. 3   c. 5
7-Nov	a. 9   b. 4   c. 6	7 + 1 - 8	a. -1   b. 0   c. 16
4-Sep	a. 8   b. 5   c. 3	7 + 2 - 1	a. 7   b. 6   c. 8
7-Dec	a. 6   b. 7   c. 5	7 + 2 - 2	a. 6   b. 5   c. 7
2-Aug	a. 2   b. 5   c. 6	7 + 2 - 5	a. 3   b. 2   c. 4
5-Nov	a. 6   b. 1   c. 12	7 + 2 - 8	a. 1   b. 17   c. 9
16 - 10	a. 5   b. 6   c. 15	7 + 2 - 9	a. -2   b. 0   c. 18
17 - 10	a. 12   b. 7   c. 11	7 + 3 - 1	a. 9   b. 11   c. 10
2-Oct	a. 5   b. 3   c. 8	7 + 3 - 2	a. 5   b. 8   c. 12
13 - 5	a. 12   b. 10   c. 8	7 + 3 - 5	a. 5   b. 15   c. 7
1-Nov	a. 10   b. 6   c. 2	7 + 3 - 8	a. 1   b. -1   c. 2
14 - 4	a. 10   b. 13   c. 9	7 + 3 + 1	a. 14   b. 11   c. 12
18 - 8	a. 7   b. 10   c. 14	7 + 3 + 2	a. 16   b. 15   c. 12
13 - 2	a. 11   b. 2   c. 5	7 + 3 + 3	a. 13   b. 12   c. 8
16 - 5	a. 11   b. 5   c. 8	8 + 1 - 1	a. 8   b. 10   c. 9
16 - 4	a. 15   b. 13   c. 12	8 + 1 - 4	a. 5   b. 13   c. 8
18 - 6	a. 12   b. 6   c. 9	8 + 1 - 8	a. 1   b. 17   c. 2
15 - 2	a. 16   b. 12   c. 13	8 + 2 - 1	a. 7   b. 9   c. 11
17 - 3	a. 18   b. 14   c. 16	8 + 2 - 2	a. 12   b. 8   c. 6
16 - 1	a. 16   b. 15   c. 17	8 + 2 - 3	a. 6   b. 5   c. 7
17 - 1	a. 7   b. 16   c. 0	8 + 2 - 5	a. 15   b. 5   c. 3
18 - 1	a. 1   b. 13   c. 17	8 + 2 + 1	a. 12   b. 14   c. 11
2 + 2	a. 3   b. 2   c. 4	8 + 2 + 2	a. 12   b. 11   c. 10
1 + 5	a. 2   b. 1   c. 6	9 + 1 - 1	a. 9   b. 11   c. 10
1 + 6	a. 13   b. 7   c. 3	9 + 1 - 9	a. 1   b. 19   c. 9
5 + 2	a. 9   b. 6   c. 7		
4 + 4	a. 6   b. 8   c. 3		
2 + 7	a. 15   b. 17   c. 9		
6 + 3	a. 9   b. 11   c. 8		
3 + 7	a. 8   b. 10   c. 9		
7 + 3	a. 10   b. 13   c. 11		
2 + 10	a. 12   b. 10   c. 7		
3 + 10	a. 23   b. 13   c. 20		
2 + 12	a. 11   b. 14   c. 27		
10 + 4	a. 16   b. 14   c. 15		
3 + 12	a. 6   b. 11   c. 15		
10 + 5	a. 15   b. 18   c. 17		
2 + 14	a. 15   b. 29   c. 16		
6 + 10	a. 16   b. 25   c. 11		
12 + 4	a. 20   b. 16   c. 15		
3 + 14	a. 17   b. 3   c. 5		
7 + 10	a. 17   b. 20   c. 19		
12 + 5	a. 17   b. 14   c. 6		
2 + 16	a. 18   b. 25   c. 22		
6 + 12	a. 3   b. 18   c. 17		
11 + 7	a. 21   b. 18   c. 24		
15 + 3	a. 18   b. 3   c. 11		
4 + 15	a. 24   b. 29   c. 19		
8 + 11	a. 24   b. 20   c. 19		
12 + 7	a. 16   b. 26   c. 19		
16 + 3	a. 18   b. 19   c. 21		
13 + 7	a. 18   b. 24   c. 20		
3-Apr	a. 5   b. 2   c. 1		
6-Jul	a. 0   b. -1   c. 1		
9-Oct	a. 5   b. -2   c. 1		
6-Aug	a. 2   b. 0   c. 5		
8-Oct	a. 8   b. 11   c. 2		
1-Apr	a. 3   b. 2   c. 1		
8-Nov	a. 1   b. 3   c. 2		
1-May	a. 6   b. 3   c. 4		
5-Sep	a. 0   b. 3   c. 4		
8-Dec	a. 9   b. 4   c. 3		
1-Jun	a. 7   b. 5   c. 4		
13 - 8	a. 5   b. 4   c. 0		
1-Jul	a. 4   b. 6   c. 5		
4-Oct	a. 6   b. 7   c. 9		
3-Oct	a. 7   b. 8   c. 11		
13 - 6	a. 10   b. 7   c. 8		
3-Nov	a. 8   b. 7   c. 10		
18 - 10	a. 14   b. 8   c. 9		
3-Dec	a. 7   b. 9   c. 12		
15 - 5	a. 10   b. 16   c. 15		
17 - 7	a. 8   b. 16   c. 10		
1-Dec	a. 13   b. 12   c. 11		
19 - 8	a. 11   b. 18   c. 16		
15 - 3	a. 12   b. 16   c. 9		
19 - 7	a. 12   b. 20   c. 5		
16 - 3	a. 17   b. 13   c. 14		
19 - 6	a. 9   b. 13   c. 10		
17 - 2	a. 13   b. 6   c. 15		
19 - 4	a. 12   b. 15   c. 11		
19 - 3	a. 11   b. 15   c. 16		
1 + 4	a. 3   b. 5   c. 9		
2 + 4	a. 6   b. 10   c. 11		
2 + 5	a. 7   b. 1   c. 4		
1 + 7	a. 8   b. 16   c. 10		
5 + 3	a. 7   b. 5   c. 8		
3 + 6	a. 8   b. 4   c. 9		
7 + 2	a. 12   b. 10   c. 9		
4 + 6	a. 12   b. 11   c. 10		
8 + 2	a. 10   b. 12   c. 11		
3 + 9	a. 8   b. 12   c. 7		
4 + 9	a. 13   b. 11   c. 12		
3 + 11	a. 12   b. 14   c. 10		
11 + 3	a. 18   b. 14   c. 16		
4 + 11	a. 17   b. 15   c. 14		
11 + 4	a. 11   b. 15   c. 14		
3 + 13	a. 9   b. 25   c. 16		
7 + 9	a. 8   b. 14   c. 16		
13 + 3	a. 18   b. 15   c. 16		
4 + 13	a. 22   b. 13   c. 17		
8 + 9	a. 21   b. 16   c. 17		
13 + 4	a. 16   b. 13   c. 17		
3 + 15	a. 18   b. 28   c. 14		
7 + 11	a. 18   b. 29   c. 15		
12 + 6	a. 22   b. 18   c. 23		
16 + 2	a. 21   b. 18   c. 17		
5 + 14	a. 19   b. 21   c. 33		
9 + 10	a. 27   b. 19   c. 24		
13 + 6	a. 19   b. 17   c. 22		
17 + 2	a. 19   b. 7   c. 3		
14 + 6	a. 21   b. 20   c. 23		
4-May	a. 3   b. 1   c. 2		
7-Aug	a. -3   b. 9   c. 1		
10-Nov	a. 8   b. 5   c. 1		
3-May	a. 4   b. 5   c. 2		
7-Sep	a. 2   b. -2   c. 10		
4-Jul	a. 3   b. 2   c. 1		
7-Oct	a. 5   b. 3   c. 4		
13 - 10	a. 7   b. 6   c. 3		
6-Oct	a. 4   b. 1   c. 2		
13 - 9	a. 4   b. 9   c. 8		
2-Jul	a. 0   b. 3   c. 5		
5-Oct	a. 4   b. 5   c. 9		
15 - 10	a. 5   b. 11   c. 2		
13 - 7	a. 2   b. 11   c. 6		
2-Sep	a. 6   b. 3   c. 7		
5-Dec	a. 10   b. 7   c. 9		
4-Dec	a. 4   b. 3   c. 8		
1-Oct	a. 11   b. 9   c. 10		
13 - 4	a. 3   b. 9   c. 2		
2-Dec	a. 12   b. 9   c. 10		
16 - 6	a. 10   b. 11   c. 13		
15 - 4	a. 11   b. 2   c. 10		
18 - 7	a. 15   b. 11   c. 8		
14 - 2	a. 14   b. 11   c. 12		
14 - 1	a. 13   b. 15   c. 12		
17 - 4	a. 1   b. 13   c. 11		
15 - 1	a. 14   b. 5   c. 13		
18 - 4	a. 13   b. 14   c. 16		
18 - 3	a. 15   b. 4   c. 1		
19 - 1	a. 20   b. 18   c. 19		
